Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Hawksbill Turtle,Europe,60.61,50.57,46.25,26.62,1.51,70.72,0,0,0
California Condor,Sub-Saharan Africa,84.0,48.4,26.16,44.5,1.91,81.55,1,1,1
Axolotl,South America,61.46,70.71,28.83,38.24,1.72,51.81,0,1,0
Iberian Lynx,Sub-Saharan Africa,45.83,49.79,25.35,17.11,2.04,77.25,1,0,0
Orangutan,South America,62.24,55.2,60.27,50.04,1.9,89.9,0,1,1
California Condor,North America,93.6,40.24,28.37,33.12,2.41,60.6,0,1,1
Snow Leopard,Oceania,57.8,32.18,46.74,36.7,1.62,88.61,0,0,0
Orangutan,North America,74.77,42.07,26.27,47.16,1.93,79.52,1,0,0
Amur Leopard,Southeast Asia,94.52,78.43,31.96,28.87,2.08,78.18,1,0,1
Saola,Oceania,98.13,58.23,6.29,15.27,2.12,98.48,1,0,1
Saola,Oceania,86.73,53.57,27.3,44.5,2.05,91.57,0,1,0
Giant Panda,South Asia,95.61,37.31,49.89,53.17,1.16,90.73,0,1,1
Hawksbill Turtle,South America,71.98,61.85,11.4,53.36,2.03,46.78,1,1,0
African Elephant,Middle East,95.95,32.35,60.41,54.16,1.95,71.73,0,0,1
Axolotl,Central Asia,59.42,29.63,32.33,40.54,2.3,59.87,1,1,0
Black Rhino,East Asia,90.66,42.73,16.65,6.46,2.25,39.24,1,1,1
Axolotl,North America,59.14,75.41,33.49,119.47,2.08,76.63,0,1,1
Axolotl,North America,92.27,74.67,28.62,52.89,2.11,81.76,1,1,1
Javan Rhino,Sub-Saharan Africa,78.03,44.13,5.39,23.09,2.47,39.27,0,0,1
Pangolin,South America,54.21,41.24,5.85,58.45,2.4,75.63,0,0,0
Kakapo,Central Asia,37.57,28.68,14.21,11.49,2.1,85.6,0,1,0
Axolotl,Europe,55.2,51.01,4.48,47.98,2.75,52.92,0,1,1
Kakapo,Europe,88.0,52.11,21.92,25.06,1.78,82.7,0,1,1
Iberian Lynx,Middle East,64.9,60.26,20.82,12.09,1.59,74.83,1,1,0
Orangutan,Central Asia,47.66,61.84,13.97,11.91,2.0,67.44,0,0,0
Blue Whale,Europe,84.64,47.43,25.23,42.77,1.87,49.55,0,1,0
Galapagos Penguin,Sub-Saharan Africa,93.1,57.23,47.4,46.51,1.14,71.14,1,0,1
Black Rhino,Southeast Asia,57.56,40.89,36.05,14.4,1.77,67.95,0,0,1
Pangolin,East Asia,85.05,56.98,32.59,25.34,2.12,69.12,1,1,0
Mountain Gorilla,Middle East,39.27,43.41,65.1,39.76,1.98,76.11,0,0,1
Amur Leopard,Central Asia,67.67,55.97,47.7,20.43,1.73,74.49,1,0,0
Pangolin,Middle East,69.67,54.92,43.18,106.47,2.01,81.49,1,0,0
Iberian Lynx,North America,67.61,50.89,23.18,43.16,2.04,87.78,0,1,1
Pangolin,Europe,33.79,60.33,70.75,28.93,2.25,82.32,0,0,0
Vaquita,Southeast Asia,86.48,29.58,21.93,64.63,1.78,65.83,0,0,0
Hellbender Salamander,North America,77.91,36.16,24.52,45.79,2.31,78.86,1,1,0
Red Panda,Sub-Saharan Africa,81.11,46.49,17.48,40.03,1.62,62.88,0,0,0
Asian Elephant,South America,68.05,31.24,35.37,43.75,1.82,81.89,1,0,1
Sea Otter,Middle East,72.42,44.71,12.95,53.83,2.59,68.95,1,1,0
Pangolin,North America,64.28,45.13,12.31,18.88,1.64,46.04,1,1,0
Whooping Crane,South America,88.6,67.03,48.2,4.81,1.77,96.13,0,0,0
Giant Panda,South America,64.53,51.85,21.13,68.34,1.56,87.45,1,1,1
California Condor,South America,92.23,63.38,14.97,33.21,1.71,95.69,0,0,1
Sumatran Tiger,Southeast Asia,78.87,53.92,4.24,21.93,2.05,85.9,1,1,1
Red Panda,Sub-Saharan Africa,63.56,43.04,17.71,15.22,2.25,68.26,0,0,0
Sea Otter,Middle East,72.63,51.74,81.12,13.51,1.99,77.27,1,0,0
Pangolin,Europe,68.71,59.48,16.61,35.91,1.89,73.59,1,1,0
Blue Whale,Southeast Asia,69.03,65.51,36.48,30.87,1.57,92.31,0,0,0
Galapagos Penguin,East Asia,61.16,48.28,6.2,65.21,1.75,68.72,0,1,1
Blue Whale,East Asia,63.88,28.58,0.81,47.31,1.46,75.5,0,0,1
Orangutan,Oceania,79.75,27.67,30.24,53.18,2.26,82.41,1,0,0
Red Panda,Europe,72.44,45.76,16.44,62.92,2.28,77.31,0,1,1
Asian Elephant,Southeast Asia,76.52,19.61,7.87,37.32,1.99,75.6,0,1,0
Vaquita,Central Asia,84.48,73.34,12.9,85.78,2.15,46.98,0,0,0
Red Panda,Central Asia,57.28,57.76,13.24,18.05,2.31,77.2,0,1,0
Bengal Tiger,East Asia,71.11,41.74,26.68,62.03,2.04,56.83,0,0,1
African Elephant,East Asia,67.38,35.57,30.92,4.74,2.49,58.63,0,0,0
Bengal Tiger,Central Asia,33.71,63.37,25.81,5.02,1.64,58.0,0,0,0
Bengal Tiger,East Asia,61.36,35.52,42.18,11.2,1.88,51.77,0,0,0
Sumatran Tiger,Middle East,71.25,36.76,48.11,29.04,1.84,86.9,0,0,1
Sumatran Tiger,South America,92.36,40.04,19.24,4.15,2.23,75.22,0,1,1
Asian Elephant,Sub-Saharan Africa,56.84,51.48,11.13,28.3,1.5,87.25,1,1,0
Bengal Tiger,South America,39.03,58.07,10.7,22.98,2.51,43.81,0,0,0
Bengal Tiger,North America,72.27,65.5,7.52,112.63,2.2,75.69,1,1,1
Orangutan,South Asia,96.66,63.58,5.18,8.57,2.61,64.36,0,1,1
Axolotl,Europe,85.04,50.01,8.05,34.75,1.99,74.23,0,0,0
Black Rhino,South Asia,64.7,63.27,6.52,46.55,1.81,73.45,0,0,0
Red Panda,South Asia,61.97,41.28,45.51,81.95,2.23,74.28,0,1,0
Mountain Gorilla,East Asia,63.25,26.33,22.94,52.34,2.36,69.34,1,1,0
Sea Otter,Middle East,79.97,41.28,24.66,68.9,1.75,80.52,1,0,0
Orangutan,Central Asia,87.02,39.52,9.61,38.42,1.3,91.1,0,0,0
Bengal Tiger,Sub-Saharan Africa,80.34,41.78,7.22,16.49,1.36,87.73,0,0,1
Sea Otter,Sub-Saharan Africa,98.2,37.53,3.12,7.68,2.09,59.82,1,0,1
Whooping Crane,Oceania,69.36,44.01,16.69,55.69,2.54,84.8,1,1,0
Snow Leopard,South America,88.09,58.06,28.32,22.07,1.54,67.23,0,0,1
Amur Leopard,Southeast Asia,72.67,72.3,43.35,3.41,1.9,88.54,0,0,1
Asian Elephant,South Asia,62.9,27.57,7.92,23.89,1.88,92.33,0,1,0
Javan Rhino,South America,66.25,33.26,17.01,30.71,2.67,83.96,0,0,1
Sumatran Tiger,East Asia,40.47,39.71,17.45,75.91,2.79,88.42,1,0,0
Amur Leopard,Sub-Saharan Africa,47.34,59.95,37.18,25.57,2.15,90.4,1,1,0
Vaquita,South America,82.65,47.34,40.11,30.89,2.31,77.1,1,0,0
Javan Rhino,East Asia,90.3,40.59,68.14,31.28,2.3,49.17,0,0,1
Giant Panda,South America,61.59,59.32,18.16,61.04,1.55,78.05,1,0,0
Hawksbill Turtle,East Asia,55.91,62.43,6.49,16.89,2.24,92.54,1,0,0
Iberian Lynx,South America,75.6,49.76,23.98,42.17,1.64,65.25,0,0,1
Kakapo,South Asia,33.5,39.39,31.11,20.45,1.94,56.38,0,1,1
African Elephant,Central Asia,44.62,53.51,66.99,74.72,2.4,75.88,0,1,1
Red Panda,Europe,69.58,46.97,16.07,86.53,2.03,85.1,0,0,1
Vaquita,Oceania,67.82,46.87,68.95,34.87,2.39,83.21,0,0,0
Red Panda,Oceania,85.22,43.34,15.5,40.02,2.45,77.45,0,1,1
California Condor,Middle East,79.45,62.02,30.15,26.06,1.39,72.66,1,1,0
Bengal Tiger,South America,73.73,53.25,40.03,5.0,1.24,96.24,1,1,0
Hellbender Salamander,Oceania,77.66,63.46,17.99,31.49,2.41,39.5,0,1,1
Saola,Middle East,80.64,67.37,1.91,29.29,2.42,67.56,0,0,0
Galapagos Penguin,Oceania,78.85,55.97,7.14,23.42,2.09,87.83,1,1,0
Amur Leopard,South America,64.12,43.42,2.38,25.66,2.14,87.13,0,0,0
Orangutan,Central Asia,58.9,63.52,6.2,42.58,2.31,61.42,1,1,0
Galapagos Penguin,South America,48.45,56.05,4.28,40.09,2.31,91.68,1,1,0
Javan Rhino,Southeast Asia,83.26,83.84,32.2,26.21,1.89,72.74,0,0,1
Giant Panda,South Asia,62.96,54.03,46.56,79.32,2.33,66.1,1,1,1
Javan Rhino,Southeast Asia,68.32,59.07,5.3,4.13,1.88,82.45,0,1,1
Sea Otter,Southeast Asia,79.31,53.78,38.68,17.62,2.09,78.78,0,0,0
Vaquita,North America,79.88,48.71,8.87,55.63,2.07,81.41,1,1,1
California Condor,Southeast Asia,85.81,46.64,8.07,5.98,1.7,82.41,1,1,0
Kakapo,Middle East,68.45,53.83,37.31,4.03,1.74,73.76,1,1,0
Black Rhino,South Asia,67.91,56.78,58.49,17.43,2.78,93.77,1,1,0
Snow Leopard,Europe,76.52,65.01,9.49,29.6,1.69,67.66,0,1,1
Kakapo,Middle East,58.48,54.02,23.35,21.08,5.64,73.38,1,0,1
Hawksbill Turtle,North America,84.35,43.98,4.69,35.86,2.2,46.78,0,1,0
Sea Otter,South Asia,70.98,45.75,37.13,4.47,1.98,89.21,0,1,1
Pangolin,Southeast Asia,64.62,32.8,9.09,15.92,2.24,50.27,0,0,0
Saola,South Asia,62.0,71.6,27.21,49.63,2.12,72.23,1,0,1
Mountain Gorilla,Middle East,86.63,42.96,31.97,42.33,1.7,63.96,1,0,0
Javan Rhino,South Asia,60.47,62.58,5.66,18.69,2.19,91.03,0,1,0
Mountain Gorilla,Middle East,33.2,53.6,28.93,34.01,1.81,62.6,1,1,0
Amur Leopard,North America,74.53,53.95,51.13,29.12,2.61,84.68,0,1,1
Asian Elephant,Oceania,75.1,48.47,8.81,29.78,2.15,75.64,1,1,1
California Condor,Southeast Asia,77.18,39.76,17.93,38.03,1.75,85.98,0,1,1
Hellbender Salamander,Europe,52.88,37.41,3.33,90.04,5.14,64.3,0,0,0
California Condor,Europe,44.6,72.47,16.58,91.37,1.68,81.6,0,1,0
Pangolin,Oceania,65.1,51.48,29.55,6.13,2.09,66.84,0,1,1
Hawksbill Turtle,East Asia,32.44,64.63,17.61,25.06,1.92,56.22,1,0,0
Asian Elephant,East Asia,50.86,68.0,29.25,10.66,1.71,82.04,1,0,0
Asian Elephant,North America,90.09,44.66,29.68,40.43,1.71,85.09,1,0,0
Hellbender Salamander,Southeast Asia,83.78,55.51,17.04,26.19,2.85,76.42,0,0,0
Kakapo,Middle East,88.53,50.59,32.87,62.71,2.03,73.55,0,0,1
Giant Panda,North America,82.35,34.96,23.37,30.77,1.85,75.84,0,0,1
Red Panda,South Asia,51.71,47.59,30.99,81.65,1.79,66.98,0,1,0
Saola,South Asia,88.07,57.64,12.28,93.81,2.16,90.32,0,0,1
Sumatran Tiger,Central Asia,71.49,43.51,37.73,79.63,1.78,77.86,0,1,0
Vaquita,Europe,59.78,45.78,47.74,2.82,1.62,67.68,0,1,1
Black Rhino,South Asia,83.66,47.75,13.52,37.71,1.99,46.29,1,0,0
African Elephant,Oceania,74.35,77.45,1.91,23.25,1.99,69.82,1,0,0
Asian Elephant,North America,66.77,26.16,12.88,26.22,1.85,86.16,0,0,1
Sea Otter,Central Asia,75.15,56.52,17.81,55.65,1.69,70.58,1,1,1
Bengal Tiger,Central Asia,86.81,46.71,27.62,24.58,1.86,58.61,1,0,0
Amur Leopard,Oceania,87.16,41.67,13.51,32.26,1.84,84.68,0,1,1
Saola,East Asia,91.83,46.39,54.27,33.65,1.79,70.24,0,1,1
Saola,Oceania,87.92,58.68,54.29,4.13,2.1,96.77,0,1,1
Whooping Crane,Oceania,78.54,59.42,34.76,21.67,2.78,87.26,1,1,0
Giant Panda,Middle East,81.09,52.42,44.41,65.78,2.47,84.65,1,0,1
Orangutan,South Asia,73.45,64.21,34.16,3.36,2.68,78.63,1,1,0
Mountain Gorilla,South Asia,67.66,66.49,15.75,46.03,1.8,54.42,1,0,0
Blue Whale,East Asia,67.19,60.61,13.95,14.47,2.59,92.9,0,0,0
Whooping Crane,South America,79.66,42.9,23.74,22.82,2.08,61.97,1,1,1
California Condor,Central Asia,66.42,56.43,11.49,52.59,2.35,57.81,1,1,0
Bengal Tiger,Oceania,69.69,56.49,29.87,11.5,2.16,79.7,1,1,0
Iberian Lynx,East Asia,58.13,39.4,25.29,24.48,1.88,84.75,1,0,0
Hawksbill Turtle,Sub-Saharan Africa,82.05,29.6,9.76,6.15,2.25,52.52,0,0,0
Mountain Gorilla,Sub-Saharan Africa,89.37,23.7,6.34,41.61,2.17,91.45,1,0,1
Orangutan,South Asia,42.78,50.91,23.97,16.06,1.38,83.36,1,0,0
Mountain Gorilla,East Asia,86.66,53.87,11.49,8.05,1.96,76.96,0,1,1
Red Panda,Oceania,96.36,34.64,7.83,30.79,2.31,70.95,1,1,1
Hellbender Salamander,East Asia,76.04,63.6,27.01,5.84,2.1,72.47,1,0,1
Axolotl,Middle East,48.53,51.98,15.34,22.28,2.16,57.66,1,0,0
Sea Otter,Middle East,85.99,67.54,36.22,14.79,1.74,65.28,0,1,0
Red Panda,Oceania,55.91,54.82,5.97,36.07,2.09,74.27,0,0,0
Snow Leopard,Sub-Saharan Africa,77.77,36.14,25.17,36.67,1.97,58.88,1,0,1
African Elephant,Southeast Asia,62.67,55.96,12.47,17.2,1.93,59.45,0,1,0
Blue Whale,South Asia,92.67,58.71,8.23,80.31,1.76,68.05,1,1,0
Blue Whale,East Asia,58.85,42.88,12.88,63.52,2.32,72.24,1,1,0
Sumatran Tiger,Central Asia,61.48,31.25,9.44,12.91,2.12,91.3,1,1,1
Sumatran Tiger,Sub-Saharan Africa,56.76,51.3,12.52,128.43,2.09,72.31,1,0,0
Sumatran Tiger,Southeast Asia,73.69,36.99,61.63,50.85,2.72,52.73,1,0,1
Iberian Lynx,North America,70.02,64.57,6.69,39.06,2.17,94.13,0,1,1
Pangolin,Oceania,64.65,44.71,24.33,40.99,2.42,86.35,0,0,0
Kakapo,South Asia,76.13,72.42,38.82,9.86,2.1,74.99,1,0,0
Amur Leopard,South Asia,85.39,22.39,35.16,70.73,1.88,62.9,1,0,0
Kakapo,Southeast Asia,59.53,51.75,4.49,4.17,1.63,81.35,0,1,0
Galapagos Penguin,Europe,72.68,68.58,21.18,40.82,2.08,76.73,1,0,0
Galapagos Penguin,Southeast Asia,79.83,38.43,5.02,64.11,1.07,68.61,0,1,0
Iberian Lynx,Oceania,84.08,47.93,75.95,13.91,2.1,62.28,0,1,1
Bengal Tiger,Sub-Saharan Africa,96.57,44.76,39.0,53.43,2.11,93.69,0,0,0
Sea Otter,South America,92.85,41.11,16.63,33.08,1.92,45.82,0,1,0
Vaquita,Sub-Saharan Africa,77.34,53.18,24.1,55.83,1.97,48.3,1,1,0
Sea Otter,South America,46.61,33.16,4.34,62.1,1.56,62.92,1,0,0
Pangolin,Sub-Saharan Africa,86.69,48.56,52.69,85.28,2.48,71.61,1,1,1
Whooping Crane,East Asia,83.11,56.71,15.65,72.93,1.88,73.99,0,1,1
Black Rhino,South America,52.12,47.2,17.77,4.91,1.66,69.93,0,0,0
California Condor,Oceania,89.29,37.0,6.98,13.21,2.19,61.26,1,1,1
Sumatran Tiger,Europe,60.07,63.39,60.7,44.0,2.04,66.33,1,1,1
Black Rhino,Central Asia,74.1,59.49,36.74,62.69,1.87,76.79,0,1,1
Red Panda,Oceania,64.83,36.46,39.36,11.56,4.37,57.8,1,1,0
Pangolin,Europe,67.7,33.18,16.04,50.12,2.0,85.39,1,1,1
Galapagos Penguin,Southeast Asia,63.55,37.62,20.97,76.52,2.47,88.75,0,1,0
Javan Rhino,South America,71.79,57.09,35.31,61.03,2.16,71.83,1,0,0
Sumatran Tiger,North America,82.18,53.58,41.8,49.56,1.99,79.65,1,0,0
Vaquita,Middle East,88.83,60.27,13.7,29.15,2.3,48.39,0,0,1
Red Panda,Central Asia,83.74,45.76,37.02,28.04,2.01,55.89,1,0,0
Amur Leopard,South America,71.53,37.98,29.63,114.82,2.14,81.07,0,1,1
Whooping Crane,Europe,49.72,61.95,24.71,20.1,2.05,80.26,0,1,0
Orangutan,South America,69.83,42.81,63.92,13.21,2.21,89.8,0,1,1
Axolotl,Sub-Saharan Africa,44.72,52.43,6.49,7.99,1.84,91.62,0,0,0
Giant Panda,Europe,77.17,29.85,9.33,47.42,1.6,44.28,1,0,0
Sumatran Tiger,Sub-Saharan Africa,53.23,42.59,27.46,42.8,2.32,74.03,1,1,0
Vaquita,Southeast Asia,71.87,63.12,20.73,31.26,2.53,58.44,0,0,0
Black Rhino,South America,59.72,40.69,57.12,42.78,1.62,33.58,1,1,0
Axolotl,Central Asia,84.03,60.59,44.3,55.79,2.06,79.11,0,1,1
Red Panda,Oceania,92.14,19.7,21.95,25.93,1.84,70.64,1,0,0
Sumatran Tiger,Oceania,75.32,42.73,28.48,45.01,2.31,93.33,1,0,0
Pangolin,South America,59.67,47.77,19.95,24.06,2.09,99.08,1,0,1
Red Panda,Oceania,87.9,72.65,9.52,46.12,3.16,86.3,1,1,1
African Elephant,Central Asia,78.72,34.8,15.4,76.86,1.89,77.89,0,0,1
Snow Leopard,South America,60.04,58.72,28.99,59.78,2.54,57.6,0,1,0
Vaquita,Oceania,73.58,63.74,18.59,95.56,2.57,93.61,1,0,0
Hellbender Salamander,Sub-Saharan Africa,61.93,40.62,24.11,20.19,2.19,67.79,1,0,0
Whooping Crane,Oceania,79.09,45.14,57.23,16.44,2.01,59.27,0,1,1
Iberian Lynx,South Asia,64.02,51.84,1.59,42.1,2.03,93.63,1,1,0
Iberian Lynx,Central Asia,52.76,30.74,53.7,20.73,2.0,89.64,1,0,0
Vaquita,South America,79.42,44.08,7.37,47.58,2.4,83.29,1,1,1
Mountain Gorilla,Sub-Saharan Africa,92.15,66.59,4.97,36.05,1.69,81.09,0,0,1
Snow Leopard,Europe,84.35,56.79,22.39,13.41,1.94,85.19,1,1,0
Black Rhino,Europe,73.33,47.96,14.57,43.5,1.9,60.65,1,1,0
Orangutan,Sub-Saharan Africa,81.24,51.47,39.16,14.28,1.4,74.01,1,1,0
Mountain Gorilla,Sub-Saharan Africa,84.3,57.55,48.42,80.63,2.3,61.74,0,1,1
Blue Whale,South America,66.56,60.04,42.5,26.38,2.37,96.2,1,0,1
Snow Leopard,Oceania,68.38,42.77,45.34,16.29,1.78,86.02,1,0,0
Iberian Lynx,Southeast Asia,81.09,69.95,11.66,36.88,2.36,69.84,1,0,1
California Condor,Central Asia,88.36,67.11,17.38,39.95,1.45,85.03,0,0,0
Javan Rhino,Oceania,94.74,58.8,35.53,19.62,2.01,91.4,0,0,1
Saola,South America,45.84,39.04,43.99,18.84,1.96,66.37,0,1,0
Amur Leopard,North America,59.18,36.74,18.94,5.76,2.03,75.01,1,1,0
Orangutan,South Asia,60.61,45.75,30.23,57.57,2.03,86.07,0,1,0
Giant Panda,South Asia,86.85,50.79,45.02,79.1,1.97,76.62,1,1,1
Axolotl,Europe,86.09,27.01,9.05,63.88,1.86,90.47,1,1,1
Axolotl,Oceania,72.17,56.43,25.75,15.85,1.96,69.1,0,1,1
Snow Leopard,Southeast Asia,81.16,66.74,27.82,42.67,2.48,96.81,0,0,1
Amur Leopard,Oceania,79.46,57.49,29.68,37.32,1.8,77.48,0,1,0
Blue Whale,South America,84.02,41.21,50.44,7.62,2.79,95.9,0,1,0
Mountain Gorilla,Central Asia,83.37,39.67,12.3,19.49,1.78,94.09,1,0,0
Javan Rhino,Europe,90.28,53.9,16.81,40.48,2.08,98.76,0,1,1
Pangolin,South Asia,84.58,48.01,44.78,3.37,2.2,83.05,0,0,1
Iberian Lynx,South Asia,82.58,55.76,53.63,11.44,1.9,85.36,0,1,0
Javan Rhino,Central Asia,79.01,57.82,38.98,52.89,2.48,95.88,0,1,1
Hellbender Salamander,Europe,72.25,64.19,55.89,15.37,2.19,42.15,1,1,1
Asian Elephant,Europe,77.79,35.28,53.02,7.73,1.93,72.1,0,0,0
Iberian Lynx,Sub-Saharan Africa,81.78,52.88,40.4,61.59,2.48,69.81,1,1,1
Sumatran Tiger,Sub-Saharan Africa,89.26,45.27,32.95,15.37,1.64,82.5,0,1,1
Saola,South America,82.48,48.72,33.18,53.17,1.8,65.96,1,0,1
Hellbender Salamander,South America,56.38,61.24,81.24,94.06,2.2,78.79,1,1,0
Galapagos Penguin,Europe,50.6,62.65,26.65,11.1,2.28,50.06,1,1,0
Kakapo,South Asia,71.46,68.18,7.39,27.15,2.11,45.0,0,1,1
Whooping Crane,Sub-Saharan Africa,88.52,55.53,7.06,37.6,1.96,91.25,1,1,1
Red Panda,Sub-Saharan Africa,87.46,48.57,33.73,60.81,1.91,80.46,0,1,1
Sea Otter,Oceania,70.15,46.71,40.29,19.42,2.4,61.84,1,0,0
Orangutan,Europe,62.81,27.45,1.44,1.34,2.08,89.9,0,0,0
Hellbender Salamander,Middle East,60.07,67.42,31.16,11.09,1.69,90.46,1,0,0
Iberian Lynx,Oceania,88.71,45.82,23.71,22.85,1.67,71.7,1,1,1
Galapagos Penguin,South America,73.55,56.58,48.6,53.1,2.53,83.45,1,0,1
Saola,Sub-Saharan Africa,82.56,58.83,45.46,27.37,1.75,46.79,1,0,0
Sumatran Tiger,South America,77.85,33.81,18.93,50.63,2.1,82.76,1,1,0
Bengal Tiger,Europe,55.71,38.0,9.09,22.17,2.47,71.09,0,0,1
African Elephant,Sub-Saharan Africa,80.16,70.11,20.17,34.96,2.19,88.8,0,1,1
Red Panda,South America,70.91,53.78,24.66,55.96,1.73,62.9,0,0,0
Sea Otter,North America,26.7,42.45,33.04,66.68,1.64,63.23,0,1,1
Asian Elephant,South Asia,60.09,48.36,20.95,108.35,2.65,56.54,0,1,1
Saola,Oceania,58.48,64.12,4.19,38.63,1.64,83.79,1,1,1
Kakapo,Sub-Saharan Africa,84.49,62.15,32.26,4.41,1.81,66.07,0,0,0
Pangolin,Central Asia,53.9,30.94,31.97,43.75,2.13,65.44,1,1,0
Hellbender Salamander,Sub-Saharan Africa,88.59,71.25,48.0,4.04,1.92,59.51,1,1,1
Kakapo,Middle East,56.57,62.56,23.36,47.63,2.2,92.59,1,1,1
Amur Leopard,Europe,71.01,48.02,43.94,34.02,1.49,70.73,1,0,0
Hellbender Salamander,Southeast Asia,88.37,34.51,34.2,64.2,1.93,81.16,0,0,1
African Elephant,Oceania,79.8,63.7,10.73,22.05,2.24,61.86,1,0,0
Hellbender Salamander,North America,75.49,56.19,5.36,35.28,2.24,77.92,1,0,0
Giant Panda,Middle East,76.4,31.05,15.12,44.3,1.8,61.7,1,1,0
Orangutan,Sub-Saharan Africa,65.99,46.98,6.86,1.89,1.64,85.1,1,1,0
Asian Elephant,South Asia,77.51,90.64,23.52,42.81,2.07,83.55,1,0,1
Sea Otter,East Asia,75.0,50.21,28.69,16.33,1.54,64.97,0,1,0
Hellbender Salamander,East Asia,40.44,40.35,18.43,39.59,2.45,77.47,0,0,1
Sea Otter,North America,67.68,36.89,68.1,3.11,2.06,56.41,1,1,0
Iberian Lynx,Central Asia,81.62,73.04,6.4,49.26,1.76,82.66,1,1,0
Black Rhino,East Asia,74.88,61.02,26.06,46.33,1.63,30.32,0,1,1
Snow Leopard,Middle East,79.29,68.3,33.6,62.26,1.78,90.9,0,1,0
Giant Panda,South Asia,64.44,53.23,7.01,5.76,1.45,67.83,1,1,0
Orangutan,East Asia,62.07,66.3,53.57,106.29,2.17,94.78,1,0,1
Bengal Tiger,South Asia,72.06,38.97,72.39,9.19,1.72,90.21,0,0,0
Red Panda,Central Asia,75.93,52.11,39.8,35.09,2.14,87.94,0,1,1
Galapagos Penguin,Central Asia,83.1,53.73,3.94,23.23,2.19,84.51,1,0,0
Hellbender Salamander,Middle East,76.72,67.97,35.2,27.95,2.34,67.13,0,0,1
Red Panda,Southeast Asia,85.22,54.14,23.28,96.02,2.09,90.34,0,0,1
Sumatran Tiger,Oceania,56.53,41.87,26.74,10.65,2.39,77.94,0,0,0
Hellbender Salamander,Sub-Saharan Africa,56.92,50.83,75.17,86.13,2.49,61.4,1,1,0
Sumatran Tiger,South Asia,72.14,28.21,19.7,54.42,2.09,69.11,0,1,1
Saola,Oceania,61.74,19.83,43.39,30.5,2.11,84.26,1,1,1
Black Rhino,North America,83.49,60.81,3.63,30.25,1.8,70.65,0,1,0
Hellbender Salamander,Oceania,51.51,45.13,36.47,46.47,1.65,84.15,1,0,0
Blue Whale,North America,71.1,46.6,4.13,21.84,2.45,73.17,1,1,0
Amur Leopard,Southeast Asia,84.97,60.8,18.28,25.54,2.21,96.99,0,0,0
Bengal Tiger,South Asia,87.31,68.16,44.17,34.94,2.24,98.91,0,1,1
Galapagos Penguin,South Asia,87.04,56.95,43.97,79.55,1.79,73.86,1,1,1
Kakapo,South Asia,56.94,75.06,13.23,27.63,2.57,71.56,1,0,1
African Elephant,South Asia,67.03,56.53,28.16,4.96,1.92,99.06,1,0,1
Hawksbill Turtle,South Asia,60.55,53.93,34.26,36.07,1.72,86.05,0,1,0
Pangolin,South Asia,66.89,53.13,44.87,28.98,1.8,72.08,0,1,0
Pangolin,Southeast Asia,77.37,33.29,25.64,17.7,2.55,64.63,1,0,1
Asian Elephant,Oceania,88.41,62.43,44.07,40.43,1.61,79.21,1,0,1
Blue Whale,Southeast Asia,85.36,18.21,52.77,18.26,1.74,47.86,0,1,0
California Condor,East Asia,89.84,42.38,21.82,27.08,3.01,79.15,1,1,1
Saola,Central Asia,85.58,50.3,20.26,35.06,2.33,80.28,0,1,0
Asian Elephant,Middle East,75.39,39.73,15.17,37.75,1.74,86.92,0,1,1
Hawksbill Turtle,South America,82.32,44.13,20.1,42.9,1.62,82.23,0,0,0
Snow Leopard,Oceania,64.6,73.91,27.5,47.42,1.41,79.79,0,0,1
Bengal Tiger,Europe,95.12,64.35,15.84,34.48,2.03,63.69,0,1,1
Vaquita,South America,76.63,41.08,48.4,6.47,2.25,48.16,1,1,1
California Condor,Oceania,85.53,43.9,53.73,38.8,2.53,86.36,0,1,1
Bengal Tiger,North America,90.89,33.4,33.28,61.08,1.34,46.59,0,1,1
Vaquita,Central Asia,88.13,59.16,38.36,4.79,1.54,55.81,1,0,1
African Elephant,Oceania,53.34,46.75,1.94,6.55,1.96,94.18,0,0,0
California Condor,Middle East,69.56,24.44,26.99,15.7,2.98,72.51,0,1,0
Kakapo,East Asia,74.79,51.31,14.19,58.43,2.31,79.99,0,1,0
Galapagos Penguin,Central Asia,46.65,55.71,15.51,14.87,2.13,58.75,0,1,0
Javan Rhino,South America,62.54,62.52,40.42,59.02,1.57,94.37,0,1,0
Kakapo,Central Asia,83.25,49.05,40.06,37.03,1.26,96.02,0,1,1
Galapagos Penguin,South America,81.55,45.16,24.46,18.97,2.01,90.43,1,1,1
Snow Leopard,Sub-Saharan Africa,46.27,75.82,39.51,168.37,1.97,88.26,1,0,0
Sumatran Tiger,South America,66.54,50.09,10.17,9.35,1.91,81.78,0,0,0
Sea Otter,South Asia,86.01,59.35,54.66,31.56,1.87,65.0,0,0,1
Sea Otter,Oceania,50.69,42.99,49.35,13.23,1.74,69.58,0,0,1
Vaquita,Europe,68.63,58.97,18.34,40.16,1.66,79.99,0,0,0
Asian Elephant,Central Asia,85.87,31.08,16.28,13.82,2.49,89.08,0,0,0
Vaquita,East Asia,73.65,43.99,35.74,21.37,1.69,58.57,0,1,1
